#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
10.501006,151,1987.412958
10.375144,151,1996.109788
10.495148,151,1996.293107
18.689817,151,1996.293107
10.951915,151,1996.293107
14.194668,151,2005.115229
-25.838278,151,2005.29956
8.151674,151,2005.29956
8.345817,151,2005.29956
9.690107,151,2013.937666
13.672846,151,2014.12196
17.589571,151,2014.12196
16.809713,151,2014.12196
12.454982,151,2022.974696
9.822591,151,2023.143065
12.391111,151,2023.143065
17.12171,151,2023.143065
10.123425,151,2032.009242
11.958239,151,2032.190946
16.36315,151,2032.190946
9.104796,151,2032.190946
-32.853092,151,2040.903272
9.084152,151,2041.08604
22.579636,151,2041.08604
12.365592,151,2041.08604
7.1034384,151,2049.86596
13.736597,151,2050.048761
9.284598,151,2050.048761
12.951729,151,2050.048761
11.924966,151,2058.725703
10.465367,151,2058.923522
15.50985,151,2058.923522
13.36518,151,2058.923522
9.391022,151,2067.663187
13.517688,151,2067.863992
-15.434435,151,2067.863992
9.800451,151,2067.863992
8.410594,151,2076.653517
16.05349,151,2076.850802
-1.3393118,151,2076.850802
9.733712,151,2076.850802
13.2324295,151,2085.645724
9.225504,151,2085.830008
9.39826,151,2085.830008
11.218318,151,2085.830008
12.711001,151,2104.662088
11.848741,151,2104.844896
10.548295,151,2104.844896
9.915914,151,2104.844896
13.705723,151,2113.500468
5.7358565,151,2113.684784
9.549725,151,2113.684784
-32.21473,151,2113.684784
12.009164,151,2122.638713
14.403788,151,2122.85252
11.537857,151,2122.85252
11.024768,151,2122.85252
8.803707,151,2131.65419
-38.50131,151,2131.838968
11.687541,151,2131.838968
20.338142,151,2131.838968
11.049031,151,2140.65319
12.954415,151,2140.821024
12.447533,151,2140.821024
15.490829,151,2140.821024
11.168973,151,2149.574653
9.450909,151,2149.757448
9.057679,151,2149.757448
15.262177,151,2149.757448
10.6159,151,2158.543125
15.365387,151,2158.724912
10.246454,151,2158.724912
17.450216,151,2158.724912
15.64898,151,2167.304109
13.804613,151,2167.503915
16.832708,151,2167.503915
14.714467,151,2167.503915
13.062033,151,2176.387469
10.045747,151,2176.592251
15.773609,151,2176.592251
8.563936,151,2176.592754
16.872427,151,2185.302203
12.581639,151,2185.500463
12.950614,151,2185.500463
13.211287,151,2185.500463
16.37983,151,2194.337303
10.382727,151,2194.532044
11.697565,151,2194.532044
4.26253,151,2194.532044
14.214861,151,2203.170879
8.66874,151,2203.355203
12.134448,151,2203.355203
9.606931,151,2203.355203
10.974052,151,2212.167634
9.450067,151,2212.349408
11.480561,151,2212.349408
9.850556,151,2212.349408
12.199347,151,2221.197953
6.5163603,151,2221.382295
15.124828,151,2221.382295
23.24383,151,2221.382295
8.633319,151,2238.642804
15.329568,151,2238.825631
13.0423,151,2238.825631
16.746399,151,2238.825631
-34.206272,151,2247.593544
-30.088058,151,2247.777326
-33.89831,151,2247.777326
10.2963295,151,2247.777326
-57.143036,151,2256.634
11.755742,151,2256.830237
-47.994003,151,2256.830237
